pair_old,pair_new,scenario,description,tool,tool_version,command_line,note,old_size_B,new_size_B,patch_size_B,compression_factor,reduction_pct,gen_time_s_median,gen_time_s_min,gen_time_s_max,gen_peak_mem_MB,verified,sha256_old,sha256_new,sha256_patch
base,wc-1,WC,compiler optimisation -O2,xdelta3-9,"Xdelta version 3.0.11, Copyright (C) 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2",xdelta3 -e -9 -f -s corpus/bins/base.bin corpus/bins/wc-1.bin results/stage1/patches/base_to_wc-1_xdelta3-9.bin,VCDIFF + max secondary (LZMA) compression,952144,924592,363919,2.5407,60.64,0.4202,0.4065,0.4571,140.2,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,7c8a24f46cf702d1f8e0653f40c2f086c2eee574e15d808e5bebc7814d662c76,176489c001beedbd7ebc82b914744b7467cf84fcd00e8d92fa68898c04e34b86
base,wc-1,WC,compiler optimisation -O2,full,n/a,full OTA (no delta),baseline — ships entire new binary,952144,924592,924592,1.0,0.0,0,0,0,0,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,7c8a24f46cf702d1f8e0653f40c2f086c2eee574e15d808e5bebc7814d662c76,7c8a24f46cf702d1f8e0653f40c2f086c2eee574e15d808e5bebc7814d662c76
base,wc-1,WC,compiler optimisation -O2,full_gz,gzip-9,gzip -9 <new_binary>,trivial alternative — gzip of full image,952144,924592,627629,1.4732,32.12,0,0,0,0,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,7c8a24f46cf702d1f8e0653f40c2f086c2eee574e15d808e5bebc7814d662c76,17942c730ac2669f8c3c199909aee4f1a5fad4dd54ca6a1aac6b2133d105bb6f
base,nu-2,NU,comment added to ota.c,hdiffpatch,-h (or -?),hdiffz -f corpus/bins/base.bin corpus/bins/nu-2.bin results/stage1/patches/base_to_nu-2_hdiffpatch.bin,HDiffPatch default settings,952144,952144,116,8208.1379,99.99,0.014,0.0133,0.0148,7.55,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,c6e639bfba58d946a6aa067c7f365ca85fa0ba9300da50bcc20c997dcae53ea2
base,nu-3,NU,OTA success log string changed,hdiffpatch,-h (or -?),hdiffz -f corpus/bins/base.bin corpus/bins/nu-3.bin results/stage1/patches/base_to_nu-3_hdiffpatch.bin,HDiffPatch default settings,952144,952144,5675,167.7787,99.4,0.0186,0.0173,0.0203,7.05,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,613502b745de3a1dbaa9d12444a112906a117d8423ebf0c033480d5c540f07de,03797862f47435f76093e59e9f839cf54a2cef2af008b4b0a136f058a6dbba03
base,mn-1,MN,static attempt counter + 3 s reboot delay,hdiffpatch,-h (or -?),hdiffz -f corpus/bins/base.bin corpus/bins/mn-1.bin results/stage1/patches/base_to_mn-1_hdiffpatch.bin,HDiffPatch default settings,952144,952224,45269,21.0348,95.25,0.0953,0.0918,0.1231,7.11,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,28a7572f465984e2b96dc44b758847bf7d75012d884aff12807f6b04e8477bea,b4e4944eef43408ecdec37be8d39d15a8c14c138ddc86a9b06401062fd2ecf13
base,mn-2,MN,ota_check_heap_guard() function added,hdiffpatch,-h (or -?),hdiffz -f corpus/bins/base.bin corpus/bins/mn-2.bin results/stage1/patches/base_to_mn-2_hdiffpatch.bin,HDiffPatch default settings,952144,952528,50051,19.0311,94.75,0.0921,0.0914,0.0969,7.13,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,9380a4c6c32bc6d51f868fea41c5487044b1ac94472ffc3c74963e4182b1ee6f,81b13f1c43919a1eed686238b0589f3c285d17d7f0cd27340b0bdc8de1aa3147
base,mn-3,MN,heap_delta field in heartbeat,hdiffpatch,-h (or -?),hdiffz -f corpus/bins/base.bin corpus/bins/mn-3.bin results/stage1/patches/base_to_mn-3_hdiffpatch.bin,HDiffPatch default settings,952144,952176,33361,28.5416,96.5,0.0727,0.0714,0.0771,6.87,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,f9a9e4c8215fef8c8010cdc1f57ba941e42877f1a218de89324cfc611f289ec8,eb12f305ed1f6d237e96d8af84a0ebe811fa3e50424b790588ce72a4bff754bf
base,mj-1,MJ,CONFIG_TELEMETRY_ENABLE=y,hdiffpatch,-h (or -?),hdiffz -f corpus/bins/base.bin corpus/bins/mj-1.bin results/stage1/patches/base_to_mj-1_hdiffpatch.bin,HDiffPatch default settings,952144,977920,155894,6.273,84.06,0.2063,0.2029,0.2161,9.1,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,6eeca0088982f7b4a70ba359b414efb4655e5e36bfa4980ffcefa218f5801e59,b2aa30a269ad028e4455127d515c0a0ba2d9300d7be4b7e7cdd534e8593fc283
base,mj-2,MJ,debug log + mbedtls debug enabled,hdiffpatch,-h (or -?),hdiffz -f corpus/bins/base.bin corpus/bins/mj-2.bin results/stage1/patches/base_to_mj-2_hdiffpatch.bin,HDiffPatch default settings,952144,1040752,238487,4.364,77.09,0.246,0.2428,0.2502,9.39,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,b81ad3e0ccd182f07d6176790a3de9fd136991ccc74bb8ee43f5f0eefb43a8ca,c9cb54280cfb054e918b652299c5a0545371936416f828b979f423d012f23c82
base,mj-3,MJ,diag.c/diag.h diagnostic subsystem,hdiffpatch,-h (or -?),hdiffz -f corpus/bins/base.bin corpus/bins/mj-3.bin results/stage1/patches/base_to_mj-3_hdiffpatch.bin,HDiffPatch default settings,952144,952144,117,8137.9829,99.99,0.0134,0.0134,0.0138,7.57,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,e5bd10b3f39b8166a9b23e89aebb6c70f0fd3bcf84d51a49b312d7d51636f25e,65093257d34e57d26dd394d78803d670b1a086f6d368a56d2b1d8acd7bfb6820
base,wc-1,WC,compiler optimisation -O2,hdiffpatch,-h (or -?),hdiffz -f corpus/bins/base.bin corpus/bins/wc-1.bin results/stage1/patches/base_to_wc-1_hdiffpatch.bin,HDiffPatch default settings,952144,924592,464230,1.9917,49.79,0.3668,0.3554,0.38,9.64,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,7c8a24f46cf702d1f8e0653f40c2f086c2eee574e15d808e5bebc7814d662c76,b3e2b3947273dae523dc5393f205ec6020fa76b116132220a96c49b72ddf9260
