k,elapsed_s_mean,elapsed_s_std,elapsed_s_min,elapsed_s_max,n_patches,mean_patch_bytes,total_patch_bytes
1,0.5837249959998493,0.04505113437912612,0.5512498329990194,0.6474328830008744,1,488435.0,488435
2,1.139449399667986,0.005266459605381248,1.1320756119966973,1.1440439480065834,2,491217.0,982434
4,2.2790723366682264,0.01717168000101767,2.2639278630012996,2.303084876999492,4,490691.5,1962766
8,4.59532368866591,0.05375295424754255,4.536053547002666,4.66618202799873,8,489574.125,3916593
16,9.17719645533604,0.18472838514922865,8.923115962003067,9.356859810999595,16,489577.6875,7833243
